,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,marck,model
16,0,gas,std,two,sedan,rwd,front,2.6289,4.9225200000000005,1.72466,1.36398,1533.14,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,x5
17,0,gas,std,four,sedan,rwd,front,2.7939999999999996,5.0038,1.8008600000000001,1.4300199999999998,1589.84,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw,x3
18,2,gas,std,two,hatchback,fwd,front,2.2453600000000002,3.58394,1.53162,1.35128,674.95,l,3,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,chevrolet,impala
19,1,gas,std,two,hatchback,fwd,front,2.4003,3.9598600000000004,1.6154400000000002,1.3208000000000002,850.03,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,chevrolet,monte carlo
20,0,gas,std,four,sedan,fwd,front,2.4003,4.03352,1.6154400000000002,1.3208000000000002,865.91,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,chevrolet,vega 2300
21,1,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,850.94,ohc,4,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,dodge,rampage
22,1,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,850.94,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,dodge,challenger se
23,1,gas,turbo,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,965.24,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,dodge,d200
24,1,gas,std,four,hatchback,fwd,front,2.37998,3.99542,1.62052,1.28524,892.22,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,dodge,monaco (sw)
25,1,gas,std,four,sedan,fwd,front,2.37998,3.99542,1.62052,1.28524,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,dodge,colt hardtop
26,1,gas,std,four,sedan,fwd,front,2.37998,3.99542,1.62052,1.28524,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,dodge,colt (sw)
27,1,gas,turbo,two,sedan,fwd,front,2.37998,3.99542,1.62052,1.28524,993.82,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,dodge,coronet custom
28,-1,gas,std,four,wagon,fwd,front,2.6238200000000003,4.4348399999999994,1.6408399999999999,1.51892,1149.86,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,dodge,dart custom
29,3,gas,turbo,two,hatchback,fwd,front,2.43586,4.39928,1.6840199999999999,1.27508,1275.05,ohc,4,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,dodge,coronet custom (sw)
30,2,gas,std,two,hatchback,fwd,front,2.19964,3.67284,1.6230600000000002,1.29032,777.0,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,honda,civic
31,2,gas,std,two,hatchback,fwd,front,2.19964,3.67284,1.6230600000000002,1.29032,825.08,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,honda,civic cvcc
32,1,gas,std,two,hatchback,fwd,front,2.37998,3.81,1.6256,1.3360400000000001,833.25,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,honda,civic
33,1,gas,std,two,hatchback,fwd,front,2.37998,3.81,1.6256,1.3360400000000001,879.97,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,honda,accord cvcc
34,1,gas,std,two,hatchback,fwd,front,2.37998,3.81,1.6256,1.3360400000000001,887.23,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,honda,civic cvcc
35,0,gas,std,four,sedan,fwd,front,2.4511000000000003,4.15036,1.6256,1.3843,911.72,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,honda,accord lx
36,0,gas,std,four,wagon,fwd,front,2.4511000000000003,3.9903399999999998,1.6230600000000002,1.48082,918.07,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,honda,civic 1500 gl
37,0,gas,std,two,hatchback,fwd,front,2.4511000000000003,4.2545,1.65608,1.35382,1014.23,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,honda,accord
38,0,gas,std,two,hatchback,fwd,front,2.4511000000000003,4.2545,1.65608,1.35382,1038.27,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,honda,civic 1300
39,0,gas,std,four,sedan,fwd,front,2.4511000000000003,4.45516,1.65608,1.3741400000000001,1045.08,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,honda,prelude
40,0,gas,std,four,sedan,fwd,front,2.4511000000000003,4.45516,1.5875,1.3741400000000001,1075.92,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,honda,accord
41,0,gas,std,four,sedan,fwd,front,2.4511000000000003,4.45516,1.65608,1.3741400000000001,1118.11,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,honda,civic
42,1,gas,std,two,sedan,fwd,front,2.4511000000000003,4.29514,1.6764000000000001,1.2953999999999999,1040.09,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,honda,civic (auto)
43,0,gas,std,four,sedan,rwd,front,2.39522,4.33578,1.56972,1.3589000000000002,1060.05,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,isuzu,MU-X
44,1,gas,std,two,sedan,fwd,front,2.4003,3.9598600000000004,1.6154400000000002,1.3208000000000002,850.03,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,D-Max 
45,0,gas,std,four,sedan,fwd,front,2.4003,3.9598600000000004,1.6154400000000002,1.3208000000000002,865.91,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,D-Max V-Cross
46,2,gas,std,two,hatchback,rwd,front,2.4384,4.38404,1.65608,1.30556,1240.12,ohc,4,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,isuzu,D-Max 
47,0,gas,std,four,sedan,rwd,front,2.8701999999999996,5.06984,1.7678399999999999,1.3411199999999999,1844.31,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,jaguar,xj
48,0,gas,std,four,sedan,rwd,front,2.8701999999999996,5.06984,1.7678399999999999,1.3411199999999999,1844.31,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,jaguar,xf
49,0,gas,std,two,sedan,rwd,front,2.5907999999999998,4.869179999999999,1.79324,1.2141199999999999,1791.69,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,jaguar,xk
50,1,gas,std,two,hatchback,fwd,front,2.36474,4.0411399999999995,1.6306800000000001,1.3741400000000001,857.29,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,rx3
51,1,gas,std,two,hatchback,fwd,front,2.36474,4.0411399999999995,1.6306800000000001,1.3741400000000001,861.83,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,glc deluxe
52,1,gas,std,two,hatchback,fwd,front,2.36474,4.0411399999999995,1.6306800000000001,1.3741400000000001,864.09,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,rx2 coupe
53,1,gas,std,four,sedan,fwd,front,2.36474,4.23672,1.6306800000000001,1.3741400000000001,882.24,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda,rx-4
54,1,gas,std,four,sedan,fwd,front,2.36474,4.23672,1.6306800000000001,1.3741400000000001,884.51,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,mazda,glc deluxe
55,3,gas,std,two,hatchback,rwd,front,2.42062,4.2926,1.6687800000000002,1.25984,1079.55,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,mazda,626
56,3,gas,std,two,hatchback,rwd,front,2.42062,4.2926,1.6687800000000002,1.25984,1079.55,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,mazda,glc
57,3,gas,std,two,hatchback,rwd,front,2.42062,4.2926,1.6687800000000002,1.25984,1081.82,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,mazda,rx-7 gs
58,3,gas,std,two,hatchback,rwd,front,2.42062,4.2926,1.6687800000000002,1.25984,1133.98,rotor,2,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0,mazda,glc 4
59,1,gas,std,two,hatchback,fwd,front,2.50952,4.51612,1.6891,1.36398,1081.82,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,mazda,626
60,0,gas,std,four,sedan,fwd,front,2.50952,4.51612,1.6891,1.4097,1093.16,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,mazda,glc custom l
61,1,gas,std,two,hatchback,fwd,front,2.50952,4.51612,1.6891,1.36398,1081.82,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,mazda,glc custom
62,0,gas,std,four,sedan,fwd,front,2.50952,4.51612,1.6891,1.4097,1093.16,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,mazda,rx-4
63,0,diesel,std,four,sedan,fwd,front,2.50952,4.51612,1.6891,1.4097,1108.13,ohc,4,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0,mazda,glc deluxe
64,0,gas,std,four,hatchback,fwd,front,2.50952,4.51612,1.6891,1.4097,1099.96,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,mazda,626
65,0,gas,std,four,sedan,rwd,front,2.66446,4.445,1.6789399999999999,1.3817599999999999,1211.09,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,mazda,glc
66,0,diesel,std,four,sedan,rwd,front,2.66446,4.445,1.6789399999999999,1.3817599999999999,1224.7,ohc,4,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,mazda,rx-7 gs
67,-1,diesel,turbo,four,sedan,rwd,front,2.7939999999999996,4.84886,1.7856199999999998,1.4350999999999998,1594.38,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,buick,electra 225 custom
68,-1,diesel,turbo,four,wagon,rwd,front,2.7939999999999996,4.84886,1.7856199999999998,1.4909800000000002,1700.97,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,buick,century luxus (sw)
69,0,diesel,turbo,two,hardtop,rwd,front,2.7101800000000003,4.7625,1.7856199999999998,1.39446,1585.31,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,buick,century
70,-1,diesel,turbo,four,sedan,rwd,front,2.9362399999999997,5.14604,1.8211800000000002,1.4300199999999998,1710.04,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,buick,skyhawk
71,-1,gas,std,four,sedan,rwd,front,2.9362399999999997,5.14604,1.8211800000000002,1.4350999999999998,1696.44,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0,buick,opel isuzu deluxe
72,3,gas,std,two,convertible,rwd,front,2.4536399999999996,4.57962,1.7907,1.29032,1671.49,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0,buick,skylark
73,0,gas,std,four,sedan,rwd,front,3.07086,5.28574,1.8211800000000002,1.44018,1769.01,ohcv,8,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0,buick,century special
74,1,gas,std,two,hardtop,rwd,front,2.8448,5.059679999999999,1.8288,1.4071600000000002,1685.1,ohcv,8,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0,buick,regal sport coupe (turbo)
75,1,gas,turbo,two,hatchback,rwd,front,2.60858,4.53136,1.7272,1.39192,1319.95,ohc,4,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0,mercury,cougar
76,2,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.6357600000000003,1.29032,869.99,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi,mirage
77,2,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.6357600000000003,1.29032,881.78,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi,lancer
78,2,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.6357600000000003,1.29032,909.0,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi,outlander
79,1,gas,turbo,two,hatchback,fwd,front,2.3622,3.99542,1.62052,1.29032,972.96,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,mitsubishi,g4
80,3,gas,turbo,two,hatchback,fwd,front,2.44602,4.3942000000000005,1.6611600000000002,1.25476,1075.01,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,mitsubishi,mirage g4
81,3,gas,std,two,hatchback,fwd,front,2.44602,4.3942000000000005,1.6611600000000002,1.25476,1055.96,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,mitsubishi,g4
82,3,gas,turbo,two,hatchback,fwd,front,2.43586,4.39928,1.6840199999999999,1.27508,1285.03,ohc,4,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,mitsubishi,outlander
83,3,gas,turbo,two,hatchback,fwd,front,2.43586,4.39928,1.6840199999999999,1.27508,1324.94,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,mitsubishi,g4
84,3,gas,turbo,two,hatchback,fwd,front,2.43586,4.39928,1.6840199999999999,1.27508,1327.21,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,mitsubishi,mirage g4
85,1,gas,std,four,sedan,fwd,front,2.44602,4.37896,1.6611600000000002,1.31064,1072.75,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi,montero
86,1,gas,std,four,sedan,fwd,front,2.44602,4.37896,1.6611600000000002,1.31064,1090.89,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,mitsubishi,pajero
87,1,gas,turbo,four,sedan,fwd,front,2.44602,4.37896,1.6611600000000002,1.31064,1089.98,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,outlander
88,-1,gas,std,four,sedan,fwd,front,2.44602,4.37896,1.6611600000000002,1.31064,1089.98,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,mirage g4
89,1,gas,std,two,sedan,fwd,front,2.4003,4.19862,1.62052,1.3843,856.84,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,nissan,versa
90,1,diesel,std,two,sedan,fwd,front,2.4003,4.19862,1.62052,1.3843,914.9,ohc,4,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,nissan,gt-r
91,1,gas,std,two,sedan,fwd,front,2.4003,4.19862,1.62052,1.3843,869.99,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,nissan,rogue
92,1,gas,std,four,sedan,fwd,front,2.4003,4.19862,1.62052,1.3843,879.06,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,nissan,latio
93,1,gas,std,four,wagon,fwd,front,2.4003,4.32308,1.62052,1.3589000000000002,918.07,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,nissan,titan
94,1,gas,std,two,sedan,fwd,front,2.4003,4.19862,1.62052,1.3843,884.96,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,nissan,leaf
95,1,gas,std,two,hatchback,fwd,front,2.4003,4.206239999999999,1.62052,1.35382,919.89,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,nissan,juke
96,1,gas,std,four,sedan,fwd,front,2.4003,4.19862,1.62052,1.3843,894.03,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,nissan,latio
97,1,gas,std,four,wagon,fwd,front,2.4003,4.32308,1.62052,1.3589000000000002,923.97,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,nissan,note
98,2,gas,std,two,hardtop,fwd,front,2.41554,4.124960000000001,1.62052,1.35382,910.81,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,nissan,clipper
99,0,gas,std,four,hatchback,fwd,front,2.46888,4.4043600000000005,1.65608,1.38938,1054.15,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,nissan,rogue
100,0,gas,std,four,sedan,fwd,front,2.46888,4.4043600000000005,1.65608,1.38938,1044.17,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,nissan,nv200
101,0,gas,std,four,sedan,fwd,front,2.55016,4.61518,1.6891,1.39954,1403.87,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,nissan,dayz
102,0,gas,std,four,wagon,fwd,front,2.55016,4.68884,1.6891,1.42494,1495.04,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,nissan,fuga
103,0,gas,std,four,sedan,fwd,front,2.55016,4.68884,1.6891,1.39954,1387.99,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,nissan,otti
104,3,gas,std,two,hatchback,rwd,front,2.31902,4.33578,1.72466,1.26238,1392.98,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,nissan,teana
105,3,gas,turbo,two,hatchback,rwd,front,2.31902,4.33578,1.72466,1.26238,1423.83,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,nissan,kicks
106,1,gas,std,two,hatchback,rwd,front,2.51968,4.5339,1.72466,1.26238,1423.83,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,nissan,clipper
107,0,gas,std,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1369.85,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,peugeot,504
108,0,diesel,turbo,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1450.13,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,peugeot,304
109,0,gas,std,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.4909800000000002,1465.1,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,peugeot,504 (sw)
110,0,diesel,turbo,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.4909800000000002,1555.82,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,13860.0,peugeot,504
111,0,gas,std,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1394.8,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,peugeot,504
112,0,diesel,turbo,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1475.08,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,peugeot,604sl
113,0,gas,std,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.44018,1490.05,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,peugeot,504
114,0,diesel,turbo,four,wagon,rwd,front,2.90068,5.05206,1.7373600000000002,1.4909800000000002,1580.77,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,peugeot,505s turbo diesel
115,0,gas,std,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1394.8,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,peugeot,504
116,0,diesel,turbo,four,sedan,rwd,front,2.74066,4.742179999999999,1.7373600000000002,1.44018,1475.08,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,peugeot,504
117,0,gas,turbo,four,sedan,rwd,front,2.7432,4.742179999999999,1.73482,1.4224,1419.74,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,peugeot,604sl
118,1,gas,std,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,869.99,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth,fury iii
119,1,gas,turbo,two,hatchback,fwd,front,2.37998,3.99542,1.62052,1.29032,965.24,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,plymouth,cricket
120,1,gas,std,four,hatchback,fwd,front,2.37998,3.99542,1.62052,1.28524,892.22,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth,fury iii
121,1,gas,std,four,sedan,fwd,front,2.37998,4.24942,1.62052,1.29032,902.2,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth,satellite custom (sw)
122,1,gas,std,four,sedan,fwd,front,2.37998,4.24942,1.62052,1.29032,993.82,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,plymouth,fury gran sedan
123,-1,gas,std,four,wagon,fwd,front,2.6238200000000003,4.4348399999999994,1.6408399999999999,1.51892,1149.86,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,plymouth,valiant
124,3,gas,turbo,two,hatchback,rwd,front,2.43586,4.39928,1.6840199999999999,1.27508,1278.22,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,plymouth,duster
125,3,gas,std,two,hatchback,rwd,front,2.4003,4.29006,1.73482,1.27508,1260.08,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,porsche,macan
126,3,gas,std,two,hardtop,rwd,rear,2.2733000000000003,4.29006,1.651,1.31064,1250.1,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0,porsche,panamera
127,3,gas,std,two,hardtop,rwd,rear,2.2733000000000003,4.29006,1.651,1.31064,1250.1,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0,porsche,cayenne
128,3,gas,std,two,convertible,rwd,rear,2.2733000000000003,4.29006,1.651,1.31064,1270.06,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0,porsche,boxter
129,1,gas,std,two,hatchback,rwd,front,2.4993600000000002,4.4627799999999995,1.83642,1.2827000000000002,1526.79,dohcv,8,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5,porsche,cayenne
130,0,gas,std,four,wagon,fwd,front,2.44094,4.6101,1.6891,1.40208,1169.81,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,renault,12tl
131,2,gas,std,two,hatchback,fwd,front,2.44094,4.4907200000000005,1.6916399999999998,1.2827000000000002,1115.84,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0,renault,5 gtl
132,3,gas,std,two,hatchback,fwd,front,2.51714,4.73964,1.6891,1.42494,1205.65,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,saab,99e
133,2,gas,std,four,sedan,fwd,front,2.51714,4.73964,1.6891,1.42494,1222.43,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,saab,99le
134,3,gas,std,two,hatchback,fwd,front,2.51714,4.73964,1.6891,1.42494,1227.87,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,saab,99le
135,2,gas,std,four,sedan,fwd,front,2.51714,4.73964,1.6891,1.42494,1251.01,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,saab,99gle
136,3,gas,turbo,two,hatchback,fwd,front,2.51714,4.73964,1.6891,1.42494,1273.69,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0,saab,99gle
137,2,gas,turbo,four,sedan,fwd,front,2.51714,4.73964,1.6891,1.42494,1291.38,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,saab,99e
